Sluisnaam;lng;lat;Beheerder
sluis Reitdiep Zuid;6.526499932705567;53.23819999200831; 
Veenparksluis;7.025799924808115;52.758199993558165; 
Blauwediepsluis;7.0775999281562205;53.14849999063586;Provincie Groningen
Sluis Jansenverlaat;7.046199925095232;52.80569999315666; 
Compascumersluis;7.044399924907934;52.78309999332336; 
sluis Ezumazijl;6.1485999362762085;53.35889999256337;WS Wetterskip Fryslan
recreatiesluis De Haandrik;6.694699925864707;52.62159999564369; 
Scheeresluis;5.947699930044722;52.531099998644834;Provincie Overijssel
Damsluis;4.833399931800805;51.82820000642604; 
sluis Junne;6.498099926374049;52.52719999693687; 
Sluis Blaricum (sluisnr 0141);5.290199932319084;52.29670000215102;HHRS Amstel, Gooi en Vecht
Kielsterverlaat;6.765599930090015;53.131099991872624; 
Reevesluis;5.857499930510868;52.518899999005214;RWS Midden-Nederland
Sluis De Spieghel;5.537599931189739;52.35000000108366;Gemeente Zeewolde
Kraaienestersluis;5.0193999329428065;52.158900003791246; 
Monstersche sluis;4.252799935839367;51.92210000726512;Gemeente Maassluis
J C Smitsluis Alblasserdam;4.673299933062231;51.874700006522986; 
Sluis 2 Blauwe As;6.575899930103801;53.00039999342684;Gemeente Assen
Sluis 1, Blauwe As;6.553899930197782;52.99539999353622;Gemeente Assen
Zandvlietsluis;4.286199932180196;51.346200010835254; 
Nieuwe Entrepotdoksluis;4.93409993501235;52.36860000269368; 
Oosterdijkshornerverlaat;6.705099932022642;53.28669999103965; 
Berendrechtsluis;4.285599932171749;51.34410001085468; 
Nieuwe Haarlemmerschutsluis;4.8946999353253835;52.37930000274139; 
sluis Broek op Langedijk;4.809999938102142;52.67460000117037;Gemeente Langedijk
sluis Nesserland;7.189099929388738;53.345199988864195; 
sluis Wetsingerzijl;6.5052999333956185;53.29569999169874; 
Kattendijksluis;4.403899930856868;51.23520001131384; 
Grote zeesluis Emden;7.188499929307462;53.33709998891599; 
Westzaner Overtoomsluis;4.783599936363239;52.43060000273393; 
Van Cauwelaertsluis;4.330799931523745;51.27590001119737; 
kleine kolk Evergem;3.668499934477326;51.089500013727665; 
sluis Evergem;3.668499934477326;51.089500013727665; 
sluis Monsin;5.638199919702042;50.66370001279241; 
grote kolk Evergem;3.6699999344687577;51.08940001372471; 
sluis Lozen;5.555699923257159;51.2071000089437; 
sluis Vise;5.679799919817175;50.7439000120942; 
sluis 10 Schoten;4.5017999302883425;51.241300011061305; 
sluis 9 Schoten;4.50629993031095;51.25030001099177; 
sluis 10 Schoten;4.501599930288193;51.24100001106998; 
sluis 9 Schoten;4.50629993031095;51.25030001099177; 
Sluis 10 Herentals;4.8320999278174375;51.169400010841834; 
Sluis 10 Herentals;4.8320999278174375;51.169400010841834; 
Olen middensas;4.860499927581402;51.159200010849396; 
sluis Olen;4.860199927580215;51.15910001084926; 
Kwaadmechelen noordersas;5.10789992562684;51.09830001073446; 
Diepenbeek noordersas;5.432099922576473;50.93870001118221; 
Genk noordersas;5.491899922154097;50.93630001106475; 
Diepenbeek middensas;5.431999922588442;50.93850001117686; 
Wijnegem duwvaartsas;4.536199929996798;51.22690001108397; 
sluis Hasselt;5.368699923028679;50.9406000112993; 
Olen noordersas;4.860699927572746;51.159500010850245; 
Diepenbeek duwvaartsas;5.432599922568698;50.937900011182116; 
sluis Genk;5.490799922167888;50.93580001107031; 
Wijnegem noordersas;4.538399929983224;51.22680001108441; 
sluis Kwaadmechelen;5.107699925632363;51.0979000107412; 
